TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL,Actual_profitability,Error (%)
75.0,307.59415327135787,2023.0,2027.0,48.0,<600,1337.3658837885123,418.06744190525654,23.16427409854431,,
75.0,0.0,2023.0,2028.0,60.0,<600,0.0,418.06744190525654,23.16427409854431,,
75.0,0.0,2023.0,2029.0,72.0,<600,0.0,418.06744190525654,23.16427409854431,,
75.0,0.0,2023.0,2030.0,84.0,<600,0.0,418.06744190525654,23.16427409854431,,
72.0,0.015289098505056177,2023.0,2023.0,0.0,<600,19961.41881319359,394.82977409879726,10.469815589613091,0.015562443223879946,1.7564383361369191
72.0,3044.692304801605,2023.0,2024.0,12.0,<600,15223.461524008024,394.82977409879726,10.469815589613091,3099.1265516400085,1.756438336136924
72.0,2201.955889312716,2023.0,2025.0,24.0,<600,10485.504234822458,394.82977409879726,10.469815589613091,,
72.0,1264.4603280401159,2023.0,2026.0,36.0,<600,5747.54694563689,394.82977409879726,10.469815589613091,,
72.0,232.20562098380455,2023.0,2027.0,48.0,<600,1009.5896564513241,394.82977409879726,10.469815589613091,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,394.82977409879726,10.469815589613091,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,394.82977409879726,10.469815589613091,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,394.82977409879726,10.469815589613091,,
75.0,0.09908200531369371,2023.0,2023.0,0.0,601-660,22670.22653626155,471.9338461058306,10.50537405283914,0.0959651389917298,3.247915185359674
75.0,3401.4040765983173,2023.0,2024.0,12.0,601-660,17007.020382991584,471.9338461058306,10.50537405283914,3294.404609034303,3.247915185359674
75.0,2382.2009882415396,2023.0,2025.0,24.0,601-660,11343.814229721616,471.9338461058306,10.50537405283914,,
75.0,1249.7337768193627,2023.0,2026.0,36.0,601-660,5680.608076451648,471.9338461058306,10.50537405283914,,
75.0,4.002442331786843,2023.0,2027.0,48.0,601-660,17.401923181681923,471.9338461058306,10.50537405283914,,
75.0,0.0,2023.0,2028.0,60.0,601-660,0.0,471.9338461058306,10.50537405283914,,
75.0,0.0,2023.0,2029.0,72.0,601-660,0.0,471.9338461058306,10.50537405283914,,
75.0,0.0,2023.0,2030.0,84.0,601-660,0.0,471.9338461058306,10.50537405283914,,
75.0,0.08444886244524101,2023.0,2023.0,0.0,601-660,38948.83945648998,712.2171149610547,7.957370773854961,0.08179231734958622,3.247915185359674
75.0,6080.446815391465,2023.0,2024.0,12.0,601-660,30402.234076957324,712.2171149610547,7.957370773854961,5889.17151932348,3.247915185359677
75.0,4589.682026459181,2023.0,2025.0,24.0,601-660,21855.62869742467,712.2171149610547,7.957370773854961,,
75.0,2927.985129936242,2023.0,2026.0,36.0,601-660,13309.02331789201,712.2171149610547,7.957370773854961,,
75.0,1095.3561258226525,2023.0,2027.0,48.0,601-660,4762.417938359358,712.2171149610547,7.957370773854961,,
75.0,0.0,2023.0,2028.0,60.0,601-660,0.0,712.2171149610547,7.957370773854961,,
75.0,0.0,2023.0,2029.0,72.0,601-660,0.0,712.2171149610547,7.957370773854961,,
75.0,0.0,2023.0,2030.0,84.0,601-660,0.0,712.2171149610547,7.957370773854961,,
75.0,0.008939863329593322,2023.0,2023.0,0.0,601-660,31164.90525033553,529.2535422012493,10.86294057977686,0.00865863810764963,3.247915185359677
75.0,4962.772548784108,2023.0,2024.0,12.0,601-660,24813.862743920537,529.2535422012493,10.86294057977686,4806.656424853233,3.247915185359681
75.0,3877.192249876165,2023.0,2025.0,24.0,601-660,18462.820237505548,529.2535422012493,10.86294057977686,,
75.0,2664.591100839922,2023.0,2026.0,36.0,601-660,12111.777731090555,529.2535422012493,10.86294057977686,,
75.0,1324.96910167538,2023.0,2027.0,48.0,601-660,5760.735224675565,529.2535422012493,10.86294057977686,,
75.0,0.0,2023.0,2028.0,60.0,601-660,0.0,529.2535422012493,10.86294057977686,,
75.0,0.0,2023.0,2029.0,72.0,601-660,0.0,529.2535422012493,10.86294057977686,,
75.0,0.0,2023.0,2030.0,84.0,601-660,0.0,529.2535422012493,10.86294057977686,,
72.0,0.01806447581359798,2023.0,2023.0,0.0,<600,24466.0067832556,435.5680279518403,15.964817245073421,0.018387439856267583,1.756438336136916
72.0,3847.838089566704,2023.0,2024.0,12.0,<600,19239.19044783352,435.5680279518403,15.964817245073421,3916.631303262343,1.7564383361369178
72.0,2942.598563606401,2023.0,2025.0,24.0,<600,14012.374112411435,435.5680279518403,15.964817245073421,,
72.0,1932.8227109376573,2023.0,2026.0,36.0,<600,8785.557776989352,435.5680279518403,15.964817245073421,,
72.0,818.5105315604718,2023.0,2027.0,48.0,<600,3558.7414415672683,435.5680279518403,15.964817245073421,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,435.5680279518403,15.964817245073421,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,435.5680279518403,15.964817245073421,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,435.5680279518403,15.964817245073421,,
72.0,0.04307511415281732,2023.0,2023.0,0.0,<600,14777.86323845031,290.8280781779083,7.921364247950299,0.04384522855573714,1.7564383361369174
72.0,2257.5852600630824,2023.0,2024.0,12.0,<600,11287.926300315412,290.8280781779083,7.921364247950299,2297.947287158961,1.7564383361369313
72.0,1637.5777660579074,2023.0,2025.0,24.0,<600,7797.989362180511,290.8280781779083,7.921364247950299,,
72.0,947.7715332900343,2023.0,2026.0,36.0,<600,4308.052424045611,290.8280781779083,7.921364247950299,,
72.0,188.16656175946375,2023.0,2027.0,48.0,<600,818.1154859107119,290.8280781779083,7.921364247950299,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,290.8280781779083,7.921364247950299,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,290.8280781779083,7.921364247950299,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,290.8280781779083,7.921364247950299,,
72.0,0.02157002232151163,2023.0,2023.0,0.0,601-660,14379.972506151587,287.6619952737112,7.669839038088861,0.021955659949822168,1.7564383361369205
72.0,2185.605712573411,2023.0,2024.0,12.0,601-660,10928.028562867054,287.6619952737112,7.669839038088861,2224.6808600561376,1.756438336136923
72.0,1569.9777701123287,2023.0,2025.0,24.0,601-660,7476.084619582518,287.6619952737112,7.669839038088861,,
72.0,885.3109487855565,2023.0,2026.0,36.0,601-660,4024.140676297984,287.6619952737112,7.669839038088861,,
72.0,131.60524859309317,2023.0,2027.0,48.0,601-660,572.1967330134485,287.6619952737112,7.669839038088861,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,287.6619952737112,7.669839038088861,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,287.6619952737112,7.669839038088861,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,287.6619952737112,7.669839038088861,,
72.0,0.010993803860689412,2023.0,2023.0,0.0,601-660,20571.471905389135,375.020886802313,12.82824533743513,0.01119035555561832,1.7564383361369174
72.0,3214.244252752276,2023.0,2024.0,12.0,601-660,16071.22126376138,375.020886802313,12.82824533743513,3271.7098182471245,1.756438336136928
72.0,2429.903830648061,2023.0,2025.0,24.0,601-660,11570.970622133624,375.020886802313,12.82824533743513,,
72.0,1555.558395711291,2023.0,2026.0,36.0,601-660,7070.719980505868,375.020886802313,12.82824533743513,,
72.0,591.2079479419659,2023.0,2027.0,48.0,601-660,2570.4693388781125,375.020886802313,12.82824533743513,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,375.020886802313,12.82824533743513,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,375.020886802313,12.82824533743513,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,375.020886802313,12.82824533743513,,
75.0,0.014887435761996094,2023.0,2023.0,0.0,<600,22572.07759510191,436.0913636563371,9.846477698139939,0.014419115132028447,3.2479151853596773
75.0,3467.7962462451733,2023.0,2024.0,12.0,<600,17338.981231225865,436.0913636563371,9.846477698139939,3358.708250931249,3.247915185359671
75.0,2542.235822143462,2023.0,2025.0,24.0,<600,12105.88486734982,436.0913636563371,9.846477698139939,,
75.0,1512.0134707642303,2023.0,2026.0,36.0,<600,6872.788503473774,436.0913636563371,9.846477698139939,,
75.0,377.1291921074778,2023.0,2027.0,48.0,<600,1639.6921395977297,436.0913636563371,9.846477698139939,,
75.0,0.0,2023.0,2028.0,60.0,<600,0.0,436.0913636563371,9.846477698139939,,
75.0,0.0,2023.0,2029.0,72.0,<600,0.0,436.0913636563371,9.846477698139939,,
75.0,0.0,2023.0,2030.0,84.0,<600,0.0,436.0913636563371,9.846477698139939,,
72.0,0.04870742315501177,2023.0,2023.0,0.0,660+,27890.574170590386,594.7078530485159,11.2063304280071,0.049578234268076025,1.7564383361369191
72.0,4150.815986801639,2023.0,2024.0,12.0,660+,20754.079934008194,594.7078530485159,11.2063304280071,4225.025962519062,1.756438336136923
72.0,2859.692996459461,2023.0,2025.0,24.0,660+,13617.585697426006,594.7078530485159,11.2063304280071,,
72.0,1425.8401213856391,2023.0,2026.0,36.0,660+,6481.091460843814,594.7078530485159,11.2063304280071,,
72.0,0.0,2023.0,2027.0,48.0,660+,0.0,594.7078530485159,11.2063304280071,,
72.0,0.0,2023.0,2028.0,60.0,660+,0.0,594.7078530485159,11.2063304280071,,
72.0,0.0,2023.0,2029.0,72.0,660+,0.0,594.7078530485159,11.2063304280071,,
72.0,0.0,2023.0,2030.0,84.0,660+,0.0,594.7078530485159,11.2063304280071,,
53.0,0.04505128795386513,2023.0,2023.0,0.0,601-660,23366.017937746103,546.0332405644178,13.06625411003578,0.044437508738358465,1.3812187787585144
53.0,3362.7238101946177,2023.0,2024.0,12.0,601-660,16813.619050973088,546.0332405644178,13.06625411003578,3316.9100260404234,1.381218778758516
53.0,2154.8562344820157,2023.0,2025.0,24.0,601-660,10261.220164200075,546.0332405644178,13.06625411003578,,
53.0,815.9406810339535,2023.0,2026.0,36.0,601-660,3708.8212774270614,546.0332405644178,13.06625411003578,,
53.0,0.0,2023.0,2027.0,48.0,601-660,0.0,546.0332405644178,13.06625411003578,,
53.0,0.0,2023.0,2028.0,60.0,601-660,0.0,546.0332405644178,13.06625411003578,,
53.0,0.0,2023.0,2029.0,72.0,601-660,0.0,546.0332405644178,13.06625411003578,,
53.0,0.0,2023.0,2030.0,84.0,601-660,0.0,546.0332405644178,13.06625411003578,,
48.0,0.0033146398861438886,2023.0,2023.0,0.0,601-660,34672.70984252197,455.5055329081957,10.3768847185548,0.003117900364133309,6.310000289738828
48.0,5841.328689524724,2023.0,2024.0,12.0,601-660,29206.643447623617,455.5055329081957,10.3768847185548,5494.618261315663,6.310000289738819
48.0,4985.521181072306,2023.0,2025.0,24.0,601-660,23740.577052725268,455.5055329081957,10.3768847185548,,
48.0,4020.392344721923,2023.0,2026.0,36.0,601-660,18274.510657826922,455.5055329081957,10.3768847185548,,
48.0,0.0,2023.0,2027.0,48.0,601-660,0.0,455.5055329081957,10.3768847185548,,
48.0,0.0,2023.0,2028.0,60.0,601-660,0.0,455.5055329081957,10.3768847185548,,
48.0,0.0,2023.0,2029.0,72.0,601-660,0.0,455.5055329081957,10.3768847185548,,
48.0,0.0,2023.0,2030.0,84.0,601-660,0.0,455.5055329081957,10.3768847185548,,
75.0,0.008874440008343943,2023.0,2023.0,0.0,601-660,21954.27502310458,420.06082601958246,11.32520261184115,0.008595272836659,3.247915185359671
75.0,3382.709022173918,2023.0,2024.0,12.0,601-660,16913.54511086959,420.06082601958246,11.32520261184115,3276.297653178743,3.2479151853596746
75.0,2493.291191713266,2023.0,2025.0,24.0,601-660,11872.8151986346,420.06082601958246,11.32520261184115,,
75.0,1503.0587630079146,2023.0,2026.0,36.0,601-660,6832.0852863996115,420.06082601958246,11.32520261184115,,
75.0,412.01173605786283,2023.0,2027.0,48.0,601-660,1791.355374164621,420.06082601958246,11.32520261184115,,
75.0,0.0,2023.0,2028.0,60.0,601-660,0.0,420.06082601958246,11.32520261184115,,
75.0,0.0,2023.0,2029.0,72.0,601-660,0.0,420.06082601958246,11.32520261184115,,
75.0,0.0,2023.0,2030.0,84.0,601-660,0.0,420.06082601958246,11.32520261184115,,
38.0,0.021417946954092007,2023.0,2023.0,0.0,<600,25012.38399740323,471.7308439524611,11.32164239100102,0.02250156353233531,4.81573903380589
38.0,3870.3227739947397,2023.0,2024.0,12.0,<600,19351.6138699737,471.7308439524611,11.32164239100102,4066.137336895785,4.815739033805888
38.0,2875.0771859342744,2023.0,2025.0,24.0,<600,13690.843742544164,471.7308439524611,11.32164239100102,,
38.0,1766.6161953252188,2023.0,2026.0,36.0,<600,8030.07361511463,471.7308439524611,11.32164239100102,,
38.0,0.0,2023.0,2027.0,48.0,<600,0.0,471.7308439524611,11.32164239100102,,
38.0,0.0,2023.0,2028.0,60.0,<600,0.0,471.7308439524611,11.32164239100102,,
38.0,0.0,2023.0,2029.0,72.0,<600,0.0,471.7308439524611,11.32164239100102,,
38.0,0.0,2023.0,2030.0,84.0,<600,0.0,471.7308439524611,11.32164239100102,,
72.0,0.07530606771139885,2023.0,2023.0,0.0,601-660,22280.72374932352,443.31748915998617,9.960136396287481,0.0766524202054644,1.756438336136931
72.0,3392.182775880737,2023.0,2024.0,12.0,601-660,16960.913879403684,443.31748915998617,9.960136396287481,3452.829598632603,1.7564383361369256
72.0,2444.6318419916083,2023.0,2025.0,24.0,601-660,11641.10400948385,443.31748915998617,9.960136396287481,,
72.0,1390.6847107040837,2023.0,2026.0,36.0,601-660,6321.294139564017,443.31748915998617,9.960136396287481,,
72.0,230.34138201816165,2023.0,2027.0,48.0,601-660,1001.484269644181,443.31748915998617,9.960136396287481,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,443.31748915998617,9.960136396287481,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,443.31748915998617,9.960136396287481,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,443.31748915998617,9.960136396287481,,
72.0,0.043441082528340336,2023.0,2023.0,0.0,601-660,20649.122848359253,401.8691155315356,13.52005013260085,0.04421773986266142,1.7564383361369265
72.0,3165.3386923961652,2023.0,2024.0,12.0,601-660,15826.693461980825,401.8691155315356,13.52005013260085,3221.9299044005156,1.7564383361369234
72.0,2310.8954558765035,2023.0,2025.0,24.0,601-660,11004.264075602397,401.8691155315356,13.52005013260085,,
72.0,1360.0036316292737,2023.0,2026.0,36.0,601-660,6181.8346892239715,401.8691155315356,13.52005013260085,,
72.0,312.66321965447463,2023.0,2027.0,48.0,601-660,1359.4053028455419,401.8691155315356,13.52005013260085,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,401.8691155315356,13.52005013260085,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,401.8691155315356,13.52005013260085,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,401.8691155315356,13.52005013260085,,
72.0,0.05682568661889797,2023.0,2023.0,0.0,<600,21295.97594140711,407.4883231503075,24.06886215650751,0.05784163934663228,1.7564383361369285
72.0,3281.223212720684,2023.0,2024.0,12.0,<600,16406.11606360342,407.4883231503075,24.06886215650751,3339.8862552920004,1.7564383361369205
72.0,2418.413799017943,2023.0,2025.0,24.0,<600,11516.256185799728,407.4883231503075,24.06886215650751,,
72.0,1457.8071877591283,2023.0,2026.0,36.0,<600,6626.396307996038,407.4883231503075,24.06886215650751,,
72.0,399.4033789442399,2023.0,2027.0,48.0,<600,1736.5364301923473,407.4883231503075,24.06886215650751,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,407.4883231503075,24.06886215650751,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,407.4883231503075,24.06886215650751,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,407.4883231503075,24.06886215650751,,
72.0,0.006920485517550668,2023.0,2023.0,0.0,601-660,15279.909367631995,313.582034526648,8.97318908661089,0.00704421277114206,1.756438336136925
72.0,2303.384990662444,2023.0,2024.0,12.0,601-660,11516.92495331222,313.582034526648,8.97318908661089,2344.5658439617605,1.7564383361369154
72.0,1628.327513188413,2023.0,2025.0,24.0,601-660,7753.940538992443,313.582034526648,8.97318908661089,,
72.0,878.010347427987,2023.0,2026.0,36.0,601-660,3990.956124672668,313.582034526648,8.97318908661089,,
72.0,52.433493381164936,2023.0,2027.0,48.0,601-660,227.97171035289102,313.582034526648,8.97318908661089,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,313.582034526648,8.97318908661089,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,313.582034526648,8.97318908661089,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,313.582034526648,8.97318908661089,,
75.0,0.011447349317809385,2023.0,2023.0,0.0,601-660,43269.505445213,629.8717417197864,11.48030028093254,0.011087245003696301,3.2479151853596786
75.0,7142.208908915112,2023.0,2024.0,12.0,601-660,35711.04454457556,629.8717417197864,11.48030028093254,6917.533294587881,3.247915185359678
75.0,5912.042565227006,2023.0,2025.0,24.0,601-660,28152.583643938124,629.8717417197864,11.48030028093254,,
75.0,4530.707003526151,2023.0,2026.0,36.0,601-660,20594.122743300686,629.8717417197864,11.48030028093254,,
75.0,2998.2022238125473,2023.0,2027.0,48.0,601-660,13035.661842663249,629.8717417197864,11.48030028093254,,
75.0,1314.5282260861945,2023.0,2028.0,60.0,601-660,5477.200942025811,629.8717417197864,11.48030028093254,,
75.0,0.0,2023.0,2029.0,72.0,601-660,0.0,629.8717417197864,11.48030028093254,,
75.0,0.0,2023.0,2030.0,84.0,601-660,0.0,629.8717417197864,11.48030028093254,,
53.0,0.005710204812459785,2023.0,2023.0,0.0,601-660,15917.974934426424,288.49626581235304,12.32821772758273,0.005632408922722669,1.3812187787585184
53.0,2491.2039489356375,2023.0,2024.0,12.0,601-660,12456.019744678188,288.49626581235304,12.32821772758273,2457.26376043291,1.381218778758528
53.0,1888.7535565352898,2023.0,2025.0,24.0,601-660,8994.064554929952,288.49626581235304,12.32821772758273,,
53.0,1217.064060339977,2023.0,2026.0,36.0,601-660,5532.109365181714,288.49626581235304,12.32821772758273,,
53.0,476.1354603496999,2023.0,2027.0,48.0,601-660,2070.1541754334776,288.49626581235304,12.32821772758273,,
53.0,0.0,2023.0,2028.0,60.0,601-660,0.0,288.49626581235304,12.32821772758273,,
53.0,0.0,2023.0,2029.0,72.0,601-660,0.0,288.49626581235304,12.32821772758273,,
53.0,0.0,2023.0,2030.0,84.0,601-660,0.0,288.49626581235304,12.32821772758273,,
72.0,0.08105445926398328,2023.0,2023.0,0.0,<600,26549.44297275583,619.3194598097784,11.171884152348099,0.08250358383922224,1.7564383361369198
72.0,3823.521891007698,2023.0,2024.0,12.0,<600,19117.609455038488,619.3194598097784,11.171884152348099,3891.8803698198003,1.7564383361369242
72.0,2454.012946837441,2023.0,2025.0,24.0,<600,11685.775937321148,619.3194598097784,11.171884152348099,,
72.0,935.867332312838,2023.0,2026.0,36.0,<600,4253.942419603809,619.3194598097784,11.171884152348099,,
72.0,0.0,2023.0,2027.0,48.0,<600,0.0,619.3194598097784,11.171884152348099,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,619.3194598097784,11.171884152348099,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,619.3194598097784,11.171884152348099,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,619.3194598097784,11.171884152348099,,
72.0,0.08124464039313839,2023.0,2023.0,0.0,601-660,22694.554646930497,458.1803140598009,8.26208690590004,0.08269716510392212,1.7564383361369234
72.0,3439.2781756425775,2023.0,2024.0,12.0,601-660,17196.390878212886,458.1803140598009,8.26208690590004,3500.7669890979196,1.7564383361369211
72.0,2456.6276929940077,2023.0,2025.0,24.0,601-660,11698.227109495276,458.1803140598009,8.26208690590004,,
72.0,1364.0139349710864,2023.0,2026.0,36.0,601-660,6200.063340777666,458.1803140598009,8.26208690590004,,
72.0,161.43690157381246,2023.0,2027.0,48.0,601-660,701.8995720600542,458.1803140598009,8.26208690590004,,
72.0,0.0,2023.0,2028.0,60.0,601-660,0.0,458.1803140598009,8.26208690590004,,
72.0,0.0,2023.0,2029.0,72.0,601-660,0.0,458.1803140598009,8.26208690590004,,
72.0,0.0,2023.0,2030.0,84.0,601-660,0.0,458.1803140598009,8.26208690590004,,
72.0,0.06370008802863246,2023.0,2023.0,0.0,<600,23091.722927044048,438.59607845475824,12.06848515968485,0.06483894409954323,1.7564383361369296
72.0,3565.71399711739,2023.0,2024.0,12.0,<600,17828.56998558695,438.59607845475824,12.06848515968485,3629.4632815912723,1.7564383361369202
72.0,2638.7375792672683,2023.0,2025.0,24.0,<600,12565.41704412985,438.59607845475824,12.06848515968485,,
72.0,1606.4981025880052,2023.0,2026.0,36.0,<600,7302.264102672751,438.59607845475824,12.06848515968485,,
72.0,468.99556707960016,2023.0,2027.0,48.0,<600,2039.1111612156528,438.59607845475824,12.06848515968485,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,438.59607845475824,12.06848515968485,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,438.59607845475824,12.06848515968485,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,438.59607845475824,12.06848515968485,,
72.0,0.03214527166061282,2023.0,2023.0,0.0,660+,44579.62068907237,764.317988445305,12.05065558900089,0.03271997789595286,1.7564383361369138
72.0,7081.560965545742,2023.0,2024.0,12.0,660+,35407.80482772871,764.317988445305,12.05065558900089,7208.167991481269,1.7564383361369167
72.0,5509.55768294086,2023.0,2025.0,24.0,660+,26235.988966385048,764.317988445305,12.05065558900089,,
72.0,3754.118083109106,2023.0,2026.0,36.0,660+,17064.17310504139,764.317988445305,12.05065558900089,,
72.0,1815.2421660504772,2023.0,2027.0,48.0,660+,7892.3572436977265,764.317988445305,12.05065558900089,,
72.0,0.0,2023.0,2028.0,60.0,660+,0.0,764.317988445305,12.05065558900089,,
72.0,0.0,2023.0,2029.0,72.0,660+,0.0,764.317988445305,12.05065558900089,,
72.0,0.0,2023.0,2030.0,84.0,660+,0.0,764.317988445305,12.05065558900089,,
56.0,0.08951315603885164,2023.0,2023.0,0.0,<600,22471.174104982932,433.5087758968463,12.4036554064733,0.09404230562245976,4.816076715293162
56.0,3453.8137588441555,2023.0,2024.0,12.0,<600,17269.068794220777,433.5087758968463,12.4036554064733,3628.5683964857944,4.816076715293166
56.0,2534.0623315263106,2023.0,2025.0,24.0,<600,12066.963483458621,433.5087758968463,12.4036554064733,,
56.0,1510.2687979932225,2023.0,2026.0,36.0,<600,6864.858172696466,433.5087758968463,12.4036554064733,,
56.0,382.4331582448914,2023.0,2027.0,48.0,<600,1662.7528619343102,433.5087758968463,12.4036554064733,,
56.0,0.0,2023.0,2028.0,60.0,<600,0.0,433.5087758968463,12.4036554064733,,
56.0,0.0,2023.0,2029.0,72.0,<600,0.0,433.5087758968463,12.4036554064733,,
56.0,0.0,2023.0,2030.0,84.0,<600,0.0,433.5087758968463,12.4036554064733,,
75.0,0.04079177949089241,2023.0,2023.0,0.0,601-660,15515.3555943716,332.95849160273445,7.89344832391532,0.039508574500181866,3.2479151853596684
75.0,2303.9707390277576,2023.0,2024.0,12.0,601-660,11519.853695138787,332.95849160273445,7.89344832391532,2231.4937157728255,3.247915185359663
75.0,1580.1138771402543,2023.0,2025.0,24.0,601-660,7524.351795905974,332.95849160273445,7.89344832391532,,
75.0,776.3469772680953,2023.0,2026.0,36.0,601-660,3528.8498966731604,332.95849160273445,7.89344832391532,,
75.0,0.0,2023.0,2027.0,48.0,601-660,0.0,332.95849160273445,7.89344832391532,,
75.0,0.0,2023.0,2028.0,60.0,601-660,0.0,332.95849160273445,7.89344832391532,,
75.0,0.0,2023.0,2029.0,72.0,601-660,0.0,332.95849160273445,7.89344832391532,,
75.0,0.0,2023.0,2030.0,84.0,601-660,0.0,332.95849160273445,7.89344832391532,,
72.0,0.08602977416336118,2023.0,2023.0,0.0,<600,30329.002365580855,646.3908812218287,11.70504688696016,0.08756784944107487,1.7564383361369205
72.0,4514.462358183782,2023.0,2024.0,12.0,<600,22572.31179091891,646.3908812218287,11.70504688696016,4595.173751568432,1.756438336136929
72.0,3111.2804554139625,2023.0,2025.0,24.0,<600,14815.621216256965,646.3908812218287,11.70504688696016,,
72.0,1552.9647411509043,2023.0,2026.0,36.0,<600,7058.93064159502,646.3908812218287,11.70504688696016,,
72.0,0.0,2023.0,2027.0,48.0,<600,0.0,646.3908812218287,11.70504688696016,,
72.0,0.0,2023.0,2028.0,60.0,<600,0.0,646.3908812218287,11.70504688696016,,
72.0,0.0,2023.0,2029.0,72.0,<600,0.0,646.3908812218287,11.70504688696016,,
72.0,0.0,2023.0,2030.0,84.0,<600,0.0,646.3908812218287,11.70504688696016,,
72.0,0.030858811428877378,2023.0,2023.0,0.0,<600,15866.51453128303,315.0107116790848,9.20454278529113,0.03141051780518679,1.756438336136918
72.0,2417.2771982268023,2023.0,2024.0,12.0,<600,12086.385991134011,315.0107116790848,9.20454278529113,2460.4942627155883,1.7564383361369191
72.0,1744.3140647068487,2023.0,2025.0,24.0,<600,8306.257450984995,315.0107116790848,9.20454278529113,,
72.0,995.7483603839147,2023.0,2026.0,36.0,<600,4526.128910835976,315.0107116790848,9.20454278529113,,
