OPB,interest_rate,tenure,credit_score_band,LTV,age,income,employment_length,debt_to_income,payment_history,loan_amount,loan_type,property_value,down_payment,loan_purpose,marital_status,education,residence_type,number_of_dependents,previous_loans,OPBAddition10
390774.21457158757,6.963682925518381,84,Poor,0.34258205328207825,69,173725.92598093918,28,0.23679401423898883,56.55792333249915,265271.37224525755,Personal,763250.5978362315,79956.2727627141,Business,Divorced,PhD,Own,0,5,390775.21457158757
33201.572811154925,7.720510772315573,354,Good,0.5760907753189564,54,152269.5911909372,1,0.30328399789519495,5.38981505755336,426859.091784829,Personal,206417.35499953147,27000.30606092444,Debt Consolidation,Divorced,PhD,Own,1,0,33202.572811154925
343524.11095738626,4.8416838626082175,33,Good,0.5806209850533062,57,111858.30783849276,20,0.3582001345999536,86.37027429551274,85184.78791829721,Mortgage,665341.0817884993,74784.29204504642,Debt Consolidation,Single,Bachelor,Own,1,4,343525.11095738626
276475.1903680376,3.7224883988890762,346,Poor,0.8185429969820692,63,153818.74574625414,28,0.36547141336356903,88.44806189003701,359383.5314995004,Personal,744756.1869867728,36071.275914139565,Home Purchase,Divorced,Bachelor,Rent,2,4,276476.1903680376
83323.99427417941,7.0208035613596405,250,Poor,0.94766735823821,55,169850.43510588264,29,0.33712175529785404,77.13827234436938,422377.5042141943,Auto,354361.7886312954,27607.88463637636,Debt Consolidation,Single,PhD,Other,4,0,83324.99427417941
120524.54679215686,6.195857813159058,283,Poor,0.7726543070771993,35,177657.85740772611,38,0.39764927597825916,65.31947278404463,165234.8081134181,Mortgage,511464.0147167898,60776.210365056104,Debt Consolidation,Single,Master,Other,0,6,120525.54679215686
257931.04893603377,5.799411181806193,192,Fair,0.30371887525831576,43,30547.619231887307,32,0.19978714119758326,80.03749569762086,343023.6426156078,Business,395494.7579824117,8582.416267023042,Refinance,Single,Master,Other,3,8,257932.04893603377
143024.34224697092,6.535667447947699,113,Excellent,0.8461268601782197,30,45629.83615896591,2,0.32669029092240887,65.83448563503256,162017.54298234655,Mortgage,545494.7066869475,58254.856483898664,Business,Widowed,Bachelor,Other,4,8,143025.34224697092
275627.2896479725,4.059256123536838,234,Good,0.3333442363545992,68,53638.35918368968,24,0.1713321755890025,15.032698333447648,134416.65550008198,Mortgage,284188.1272310583,17150.907612782496,Debt Consolidation,Divorced,High School,Own,1,2,275628.2896479725
137660.03794688283,4.167187113729477,110,Excellent,0.7854033232282068,71,189983.7128385256,31,0.2543378802652692,24.680049135736514,492892.48488564807,Personal,153247.43151888903,69154.42844328657,Debt Consolidation,Divorced,PhD,Own,4,3,137661.03794688283
317971.81890838227,8.186102049723967,131,Fair,0.5641161002533699,26,60996.99983630834,8,0.4930941145303872,68.47969330206203,479332.1912261061,Business,347442.0439635359,59184.850026656815,Home Purchase,Married,Master,Other,3,5,317972.81890838227
282183.117633329,4.281005889669765,299,Poor,0.6868352988797579,72,65721.92459956478,7,0.32439075369266057,88.2449419267333,365490.90141940385,Business,149216.3114999845,51808.0261215379,Refinance,Married,High School,Own,2,5,282184.117633329
249402.49219020337,7.350956916066232,36,Fair,0.8116123656952219,38,103461.67837990038,12,0.18109303549013675,76.0394881127347,169084.3631999053,Auto,114370.2228884649,86715.43011576694,Business,Widowed,PhD,Rent,2,2,249403.49219020337
161533.6221983349,4.508870410507872,251,Excellent,0.48747302579322876,55,69126.67869534224,35,0.23627323696396704,87.57091989163153,452611.1716560192,Auto,406497.45196483616,38987.22623128603,Debt Consolidation,Divorced,Master,Own,1,0,161534.6221983349
460535.4193177534,8.284122320654138,216,Poor,0.680076374394715,72,164770.84928760998,19,0.315072039073959,90.04676863365894,389295.8239329356,Personal,468161.0026699238,92041.45160615603,Home Purchase,Divorced,Master,Rent,0,4,460536.4193177534
110813.27958447632,7.4146602874208,52,Fair,0.8301636086506137,27,181796.0263228019,9,0.11949291881497515,79.17066795029798,414272.6061344885,Auto,429206.6359721166,35883.77929370875,Debt Consolidation,Divorced,PhD,Other,3,0,110814.27958447632
191890.34766391217,7.952118538052807,209,Fair,0.5907068115701353,58,110583.6659143676,24,0.4849464602473874,64.70227343993322,354131.17270183045,Personal,813154.4051966639,9693.6602586212,Business,Single,PhD,Other,3,9,191891.34766391217
427696.04700037924,6.981086648126864,305,Good,0.6677255020030479,69,113663.61778647314,29,0.1336436853112538,32.53824338609742,66550.84343669175,Mortgage,859983.7848785487,17137.911463134595,Refinance,Married,PhD,Rent,3,7,427697.04700037924
428267.2427764962,3.6185471696395,156,Good,0.3277786188202706,48,102748.08968750651,9,0.20099999617572087,56.444592663247526,412226.80293759605,Mortgage,393260.5571837562,86345.85629234578,Home Purchase,Widowed,High School,Rent,4,2,428268.2427764962
125516.66493599034,7.061738634508501,280,Good,0.8777383147173428,25,195071.8397434972,10,0.29307774168617545,41.28063372435455,455253.22552349494,Mortgage,175515.99061071736,10150.704318907105,Home Purchase,Divorced,PhD,Own,0,5,125517.66493599034
352326.6062896812,4.675950378769832,246,Good,0.5467757570044456,22,89377.16354426209,36,0.4921163641572127,61.77286480459138,362721.41795680404,Personal,523799.74147568864,18196.578197387364,Refinance,Married,High School,Rent,1,1,352327.6062896812
289766.6615387417,6.825361956992321,189,Excellent,0.7142219799537801,36,51908.61464048612,38,0.20189279582127334,6.175304236881651,208368.54052403106,Mortgage,377451.1822788266,65927.81611443288,Home Purchase,Single,High School,Own,1,9,289767.6615387417
337527.6522265105,7.690029038803731,207,Fair,0.6815599170615062,47,159345.71011522267,30,0.20066365679344128,98.12195812910399,319917.51761761034,Business,437461.85908364155,40272.490452686005,Debt Consolidation,Divorced,Bachelor,Own,4,7,337528.6522265105
424310.54989061627,5.092463608443727,126,Good,0.6719321107968226,57,86999.98443085357,5,0.3734532142983683,89.43431426471082,192401.6533583343,Business,977767.2015077311,89783.13006351174,Debt Consolidation,Single,High School,Own,0,5,424311.54989061627
390996.44832466973,5.9588439864207015,306,Poor,0.3479964227024224,72,139948.04003677855,4,0.3481879140072006,85.30520993231814,478296.86146496696,Business,782737.8971035226,9984.778250301955,Home Purchase,Divorced,High School,Own,1,2,390997.44832466973
154200.77593349435,8.11473692381912,100,Excellent,0.3904650764331139,21,169130.46338163948,2,0.2044919118896066,61.920784909686766,422046.94348568085,Business,670271.9603325723,89077.95194059193,Refinance,Single,High School,Other,2,0,154201.77593349435
485315.6034945575,4.256214183077534,121,Fair,0.4745427384052843,33,187119.8524620184,19,0.2590357283494207,94.61380798288374,481199.9977143047,Business,791132.9267775925,28372.309791368218,Business,Single,Master,Own,4,9,485316.6034945575
203943.10734509776,4.911935150901318,294,Fair,0.6425108708967235,67,123437.75653033801,22,0.4995868463246903,45.234289951941854,232510.1725605311,Business,424728.38939145394,89214.94373584406,Refinance,Single,High School,Own,3,9,203944.10734509776
466095.0460123894,6.791815282802503,244,Good,0.4922330959839769,25,188963.63333532927,30,0.32470807290057124,80.77615763666756,435866.05655064504,Mortgage,730619.2309518611,46552.57886564441,Business,Single,Master,Own,2,4,466096.0460123894
271209.9294960284,6.396042374766999,34,Poor,0.7708768499805434,72,158398.72215132485,16,0.39020858364777744,66.621200790473,480419.1712819503,Business,487156.94956881815,58803.60734172598,Home Purchase,Divorced,Bachelor,Other,4,0,271210.9294960284
460197.5087997303,7.38901694439019,40,Good,0.34209167437035276,58,92934.12342321056,5,0.4513566068273239,63.09423569283575,132332.54392532632,Personal,508730.88750733255,66043.03652109974,Debt Consolidation,Single,Bachelor,Own,1,1,460198.5087997303
270640.0394198614,3.5173350438300583,342,Excellent,0.36947562064786205,72,49465.602538406674,5,0.1286073911311657,84.11250692889895,51082.37730055293,Business,165971.60308820143,99311.60483234565,Refinance,Divorced,Bachelor,Own,4,1,270641.0394198614
333038.4871390908,7.869328842700397,187,Fair,0.8215305217811018,20,61042.86954161464,16,0.2179114673832901,76.42567744912716,92680.98413752622,Auto,710791.7807453441,18567.491263244046,Debt Consolidation,Widowed,Master,Own,2,7,333039.4871390908
439682.30651973153,7.389549842031679,308,Poor,0.5707673999164804,49,193763.92895351828,5,0.2931653290165255,24.436150268207523,105576.13373300807,Business,515358.03110405273,23470.025159127646,Debt Consolidation,Single,PhD,Own,4,3,439683.30651973153
452523.9331355648,6.044485631284816,56,Excellent,0.5304453531272533,25,123947.46386885899,33,0.14664777252019046,44.74405274983827,244196.9455216196,Personal,705909.0905371269,66927.09595270293,Refinance,Single,PhD,Own,2,4,452524.9331355648
281972.02811094554,4.891707223929471,273,Fair,0.4976935041028586,65,73372.25394066062,13,0.22850867604197395,35.58469838495505,113698.09141156585,Mortgage,369898.128988227,91447.21557008484,Debt Consolidation,Married,Master,Other,1,0,281973.02811094554
100838.614406204,7.645784286868387,31,Fair,0.4388543051828262,55,168545.73058070298,5,0.2559852996000443,83.12712825955103,38545.538599401436,Business,423849.8722442068,56772.75791609318,Debt Consolidation,Divorced,Bachelor,Rent,2,9,100839.614406204
327777.48212627345,8.396389695225015,179,Poor,0.937146337625629,51,36379.95628933727,28,0.4500968694932713,66.77426080872652,344565.2131626327,Mortgage,195002.4804903288,86925.04347136691,Business,Widowed,Master,Other,0,6,327778.48212627345
